Spices,Victory points,Spice cost,Delta,
YYRR,6,6,0,
YYYRR,7,7,0,
RRRR,8,8,0,
YYGG,8,8,0,
YYRRR,8,8,0,
YYYGG,9,9,0,
RRGG,10,10,0,
RRRRR,10,10,0,
YYBB,10,10,0,
YYGGG,11,11,0,
YYYBB,11,11,0,
GGGG,12,12,0,
RRBB,12,12,0,
RRRGG,12,12,0,
RRGGG,13,13,0,
GGBB,14,14,0,
RRRBB,14,14,0,
YYBBB,14,14,0,
GGGGG,15,15,0,
BBBB,16,16,0,
RRBBB,16,16,0,
GGGBB,17,17,0,
GGBBB,18,18,0,
BBBBB,20,20,0,
YYRB,9,8,1,
RRGB,12,11,1,
YGGB,12,11,1,
YYRRGG,13,12,1,
YYRRBB,15,14,1,
YYGGBB,17,16,1,
RRGGBB,19,18,1,
YRGB,12,10,2,
YYYRGB,14,12,2,
YRRRGB,16,14,2,
YRGGGB,18,16,2,
YRGBBB,20,18,2,
